Date,Author,Vertical,Headline,Description
null,null,null,null,null
"TNN | Jan 1, 2020, 00:00 IST",null,City,A grand Hanukkah celebration held in the city,"A grand Hanukkah celebration was held at The Den Bengaluru recently. The event was hosted by General Manager, Vinesh Gupta and the eighth candle was lit by Consul General of Israel to South India, Dana Kursh. The festival was celebrated by lighting a candle for eight days. On the last day, guests were seen singing traditional Hanukkah songs and raising a toast to welcome 2020. Many Israeli delegates were seen participating in lighting of the candles in a nine-branched menorah. The event was followed by a cocktail dinner with Hanukkah delicacies and screening of an Israeli movie."
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
"TNN | Jan 1, 2020, 00:00 IST",null,City,Bhuvann Ponnannaa gets a surprise birthday pool party,"Actress and good friend Harshika Poonacha threw a surprise bash for actor Bhuvann Ponnannaa on Sunday, on the eve of his birthday. “We had our close friends attending this party, which began as an evening pool party and then continued as a sundowner. While Bhuvann had a hint that we would be meeting close friends, he had no idea what was in store at the party,” says Harshika. Friends from the industry like Priyanka Upendra, Amulya, J Karthik and Lasya Nagraj showed up to wish the birthday boy."
null,null,null,null,null
"TNN | Jan 1, 2020, 00:00 IST",null,City,A grand Hanukkah celebration held in the city,"A grand Hanukkah celebration was held at The Den Bengaluru recently. The event was hosted by General Manager, Vinesh Gupta and the eighth candle was lit by Consul General of Israel to South India, Dana Kursh. The festival was celebrated by lighting a candle for eight days. On the last day, guests were seen singing traditional Hanukkah songs and raising a toast to welcome 2020. Many Israeli delegates were seen participating in lighting of the candles in a nine-branched menorah. The event was followed by a cocktail dinner with Hanukkah delicacies and screening of an Israeli movie."
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
"TNN | Jan 1, 2020, 00:00 IST",null,City,Bhuvann Ponnannaa gets a surprise birthday pool party,"Actress and good friend Harshika Poonacha threw a surprise bash for actor Bhuvann Ponnannaa on Sunday, on the eve of his birthday. “We had our close friends attending this party, which began as an evening pool party and then continued as a sundowner. While Bhuvann had a hint that we would be meeting close friends, he had no idea what was in store at the party,” says Harshika. Friends from the industry like Priyanka Upendra, Amulya, J Karthik and Lasya Nagraj showed up to wish the birthday boy."
null,null,null,null,null
"TNN | Jan 1, 2020, 00:00 IST",null,City,A grand Hanukkah celebration held in the city,"A grand Hanukkah celebration was held at The Den Bengaluru recently. The event was hosted by General Manager, Vinesh Gupta and the eighth candle was lit by Consul General of Israel to South India, Dana Kursh. The festival was celebrated by lighting a candle for eight days. On the last day, guests were seen singing traditional Hanukkah songs and raising a toast to welcome 2020. Many Israeli delegates were seen participating in lighting of the candles in a nine-branched menorah. The event was followed by a cocktail dinner with Hanukkah delicacies and screening of an Israeli movie."
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
"TNN | Jan 1, 2020, 00:00 IST",null,City,Bhuvann Ponnannaa gets a surprise birthday pool party,"Actress and good friend Harshika Poonacha threw a surprise bash for actor Bhuvann Ponnannaa on Sunday, on the eve of his birthday. “We had our close friends attending this party, which began as an evening pool party and then continued as a sundowner. While Bhuvann had a hint that we would be meeting close friends, he had no idea what was in store at the party,” says Harshika. Friends from the industry like Priyanka Upendra, Amulya, J Karthik and Lasya Nagraj showed up to wish the birthday boy."
null,null,null,null,null
"TNN | Jan 1, 2020, 00:00 IST",null,City,A grand Hanukkah celebration held in the city,"A grand Hanukkah celebration was held at The Den Bengaluru recently. The event was hosted by General Manager, Vinesh Gupta and the eighth candle was lit by Consul General of Israel to South India, Dana Kursh. The festival was celebrated by lighting a candle for eight days. On the last day, guests were seen singing traditional Hanukkah songs and raising a toast to welcome 2020. Many Israeli delegates were seen participating in lighting of the candles in a nine-branched menorah. The event was followed by a cocktail dinner with Hanukkah delicacies and screening of an Israeli movie."
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
"TNN | Jan 1, 2020, 00:00 IST",null,City,Bhuvann Ponnannaa gets a surprise birthday pool party,"Actress and good friend Harshika Poonacha threw a surprise bash for actor Bhuvann Ponnannaa on Sunday, on the eve of his birthday. “We had our close friends attending this party, which began as an evening pool party and then continued as a sundowner. While Bhuvann had a hint that we would be meeting close friends, he had no idea what was in store at the party,” says Harshika. Friends from the industry like Priyanka Upendra, Amulya, J Karthik and Lasya Nagraj showed up to wish the birthday boy."
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
"Srishti Dasgupta | Jan 2, 2020, 00:00 IST",Srishti Dasgupta,City,"Ushering in New Year, Tolly style!","The New Year’s Eve party at the Tollygunge Club was probably one of the most rocking ones in the city on Tuesday night. The club members and their guests turned up in hordes to enjoy the night. “This is a very special New Year’s Eve for Tolly Club. It is the curtain-raiser for the celebration of the club’s 125 years,” said Anil Mukerji, CEO and managing member of the club.

The party had an enviable lineup of artistes like Louis Banks, Shayne Hyrapiet, Michelle and Sonia Teresa Saigal, who enthralled the crowd with their amazing performances. As the clock struck 12, everyone thronged the dance floor and wished each other a very happy New Year. We spotted percussionist Bickram Ghosh with wife Jaya Seal Ghosh at the do. Bickram told us, “It’s always lovely to be present at the club’s New Year’s Eve bash. Jaya, our elder son, Adit, and I are having a super time. The music is great. Louis Banks and his team are simply phenomenal. I am ringing in the New Year in a relaxed manner with my family.”

The celebrations rounded off with everyone digging into a lavish spread of Indian and continental dishes."
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
null,null,null,null,null
"TIMESOFINDIA.COM | Updated: Jan 3, 2020, 22:00 IST",null,null,Big sports events today,"NEW DELHI: Here are the big sports events lined up for Friday (January 3) that comprise action from two Test matches -- Australia vs New Zealand and South Africa vs England.
(All timings in IST)
1:30 am (Football - EPL)
Liverpool vs Sheffield United ( Liverpool won 2-0)
5:00 am (Cricket - 3rd Test, Day 1)
Australia vs New Zealand ( Australia 283/3 at stumps)
9:30 am (Cricket - Ranji Trophy, Round 4, Day 1)
Mumbai vs Karnataka (Karnataka 79/3 at stumps; Mumbai 194 all out)
Himachal Pradesh vs Madhya Pradesh (MP 87/4 at stumps; HP 175 all out)
Rajasthan vs Andhra (Andhra 82/2 at stumps; Rajasthan 151 all out)
Punjab vs Delhi (Punjab 266/8 at stumps)
Hyderabad vs Kerala (Kerala 126/7 at stumps)
Bengal vs Gujarat (No play due to rain)
Uttar Pradesh vs Tamil Nadu (No play due to rain)
Baroda vs Railways (Railways 24/2 at stumps; Baroda 201 all out)
Tripura vs Odisha (No play due to rain)
Uttarakhand vs Assam (Assam 237/5 at stumps)
Services vs Maharashtra (Services 141/4 at stumps; Maharashtra 44 all out)
Jharkhand vs Jammu and Kashmir (Jharkhand 170/4 at stumps)
Chhattisgarh vs Haryana (No play due to rain)
1:30 pm (Cricket - Quadrangular U19 Series)
South Africa U19 vs India U19, 1st Youth ODI (India U19 won by 66 runs)
2:00 pm (Cricket - 2nd Test, Day 1)
South Africa vs England (England 262/9 at stumps)
7:30 pm (Football - ISL)
Bengaluru FC vs FC Goa (Bengaluru won 2-1)
11:30 pm (Football - La Liga)
Valladolid vs Leganes"
null,null,null,null,null
"Sunayana Suresh | TNN | Jan 4, 2020, 00:00 IST",Sunayana Suresh,City,Veda Krishnamurthy: 2020 is exciting for women's cricket,"She’s an intrinsic part of the batting line-up for the Indian women’s cricket team. Bengaluru-based Veda Krishnamurthy has become the pin-up girl for many aspirants in Karnataka and India. She is excited about the upcoming 2020 T20 World Cup in Australia, where she says, “We have a lot to live up to, as the Indian women’s cricket team has announced that we are in it for the big haul.” Excerpts…
How does 2020 look for women’s cricket in general and you in particular?
2020 looks very exciting for women’s cricket. We have the Women’s T20 World Cup coming up this year, followed by the 50-over World Cup that will be held early next year. It is going to be a very busy and exciting year for us. There is a lot at stake, not just for those playing cricket and in the team, but for those who are vying for a spot to play for the nation.
As for me, I have ended the last year well, so I hope I carry forward the same form. Since the World Cup is very close, I hope to continue all that I’ve been doing for the past three-four months. We’ve got a core group with members who have been playing together for a while. I am hoping that everything works for us.
What is going to be India’s biggest strength at the 2020 World Cup?
That’s a tough question. I think our biggest strength are our spinners, they are superior compared to the teams across the world. Our spinners bowl most of the 20 overs, so if our spinners get it right, it will work the most in our favour. Given the fire power that we have in our batting, a good show by the spinners can help boost and complement that.
The camaraderie within the team is very important to keep the rhythm and chemistry of a batting line-up going. How do you girls bond when not playing?
If you see our social media accounts, especially Instagram, there is a lot of banter that goes on between us. We are always active, we all tend to comment when someone posts something new, which actually shows the bond we share. We are basically a bunch of youngsters, so there is so much energy off the field as well. For instance, if one starts to dance, the other 14 join in. If one sings, the other 14 do so too. We do almost everything together, it is natural and organic. In fact, I feel our bond off the field reflects on the field too. This is important for those who are part of a team, and this team shares that kind of bond.
Which is the team that our team is watching out for?
Any day, it is Australia hands down. They have been so dominating in the past few years and they are the defending champions playing in their home conditions. They are going to be our biggest competition. But, since it is T20, it is also about who clicks on that day. It depends on the performance on that particular day.
Is there anything you feel is required or not in place yet to give women’s cricket that extra push?
The ICC has done a good job of spacing out various events. We saw that with the 2017 World Cup as well. There was a lot of publicity. There were many hoardings and ads during the men’s Champions Trophy, which brought in awareness about the event. There was a lot of talk about women’s cricket too, there was a lot of crowd and a lot of people watched it even back home in India.
Now, since the next World Cup is happening in Australia, which is also a country where people love their sport, there is a lot of thought that is going into the planning of these events. Incidentally, our final match coincides with International Women’s Day. The BCCI is making sure all our games are televised, including those played at the domestic levels. They are putting a lot of effort to get the domestic scene right. Now, people are aware of the women’s cricket team and the fixtures. If one compares the 2017 World Cup to the upcoming T20 World Cup, people are aware that the match is happening in Australia. Awareness is half the battle won.
You have met upcoming players who are part of Karnataka’s women’s cricket team. What is the potential you see there?
We’ve got a very good bunch of youngsters. Karnataka has one of the few associations that train children right from the time they are about 10-11 years of age. They are trained to be a part of the under-16 games. There are a lot of youngsters to watch out for. At the same time, it is about them doing well in their age group, and continuing to perform well at the next level. That is the kind of potential selectors look for — they see who has the potential to perform well in the next level.
Off field appearances have been taking up a lot of your free time. Do you find it challenging to put in an effort towards styling yourself?
I’m getting better at that. Though, even today, if I am hanging out with my friends, you will find me in my joggers, t-shirt and chappals. But over time, I am also becoming more aware of what suits me in terms of outfits, hair and makeup. I am learning."
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
